dataset,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,0.7,medium,Naive (persistence),26,1.5830243511373885,2.410290428536524,19958.0,,,
history_only,0.7,medium,Linear Regression,26,1.5518041557080464,2.124069646570246,19958.0,,,
history_only,0.7,medium,Decision Tree,26,1.5227935702209296,2.069854717634836,19958.0,,,
history_only,0.7,medium,Random Forest,26,1.5232287924771046,2.070226892697054,19958.0,,,
history_only,0.7,medium,Naive (persistence),27,1.580422033983259,2.3845084204081024,19951.0,,,
history_only,0.7,medium,Linear Regression,27,1.5466004493795091,2.1088422079157203,19951.0,,,
history_only,0.7,medium,Decision Tree,27,1.5153562744492315,2.0618931165122403,19951.0,,,
history_only,0.7,medium,Random Forest,27,1.5146137985871242,2.0613713589200118,19951.0,,,
history_only,0.7,medium,Naive (persistence),28,1.5776385058912008,2.402785214321485,19945.0,,,
history_only,0.7,medium,Linear Regression,28,1.5304019220626366,2.102486217218169,19945.0,,,
history_only,0.7,medium,Decision Tree,28,1.5036173252623113,2.0649263698891085,19945.0,,,
history_only,0.7,medium,Random Forest,28,1.5037192886937245,2.0654214593884914,19945.0,,,
history_only,0.7,medium,Naive (persistence),29,1.5343764104107116,2.358592956439451,19941.0,,,
history_only,0.7,medium,Linear Regression,29,1.5242197946994807,2.1184255765459192,19941.0,,,
history_only,0.7,medium,Decision Tree,29,1.4823205614595034,2.0453343914285242,19941.0,,,
history_only,0.7,medium,Random Forest,29,1.4807850625559746,2.041593337289887,19941.0,,,
history_only,0.7,medium,Linear Regression,ALL_MEAN,1.5476586145598428,,,0.021353448714697614,0.01938083921881284,5.0
history_only,0.7,medium,Decision Tree,ALL_MEAN,1.516356397738942,,,0.02478700541928748,0.03921438215956807,5.0
history_only,0.7,medium,Random Forest,ALL_MEAN,1.5158476971379624,,,0.024968328030774218,0.0395367023093276,5.0
history_only,0.7,medium,Naive (persistence),ALL_MEAN,1.5782463533824251,,,0.02592513534378012,0.0,5.0
history_only,0.7,long,Naive (persistence),25,1.9482343499197432,2.963241224635147,19936.0,,,
history_only,0.7,long,Linear Regression,25,1.7990414190006563,2.501723275237419,19936.0,,,
history_only,0.7,long,Decision Tree,25,1.7896119598806575,2.4693794987358997,19936.0,,,
history_only,0.7,long,Random Forest,25,1.7889193652823725,2.467436879145576,19936.0,,,
history_only,0.7,long,Naive (persistence),26,1.9243912215652872,2.909867934448479,19958.0,,,
history_only,0.7,long,Linear Regression,26,1.7423099397979143,2.393473497402087,19958.0,,,
history_only,0.7,long,Decision Tree,26,1.7373609962245906,2.3729649207141286,19958.0,,,
history_only,0.7,long,Random Forest,26,1.7358632831717233,2.3644629085485223,19958.0,,,
history_only,0.7,long,Naive (persistence),27,1.9171971329757906,2.9158584438614925,19951.0,,,
history_only,0.7,long,Linear Regression,27,1.7493512930638015,2.4009350860982512,19951.0,,,
history_only,0.7,long,Decision Tree,27,1.7494011617195246,2.3782687774029023,19951.0,,,
history_only,0.7,long,Random Forest,27,1.7489714680895763,2.3750722308140215,19951.0,,,
history_only,0.7,long,Naive (persistence),28,1.9094509902231136,2.917001795260378,19945.0,,,
history_only,0.7,long,Linear Regression,28,1.7142689972791336,2.3607580788064926,19945.0,,,
history_only,0.7,long,Decision Tree,28,1.7148578592526098,2.349263437086117,19945.0,,,
history_only,0.7,long,Random Forest,28,1.7149885307878336,2.3485586540901013,19945.0,,,
history_only,0.7,long,Naive (persistence),29,1.8787422897547765,2.933989514071687,19941.0,,,
history_only,0.7,long,Linear Regression,29,1.7379150032026511,2.4600927869883433,19941.0,,,
history_only,0.7,long,Decision Tree,29,1.7172201954125619,2.38283823590159,19941.0,,,
history_only,0.7,long,Random Forest,29,1.7161545205645348,2.3804354607566367,19941.0,,,
history_only,0.7,long,Linear Regression,ALL_MEAN,1.7485773304688312,,,0.027846904259736384,0.0871923092894582,5.0
history_only,0.7,long,Decision Tree,ALL_MEAN,1.741690434497989,,,0.027178858107899738,0.0907874671916955,5.0
history_only,0.7,long,Random Forest,ALL_MEAN,1.7409794335792081,,,0.02712964428962445,0.09115863013396674,5.0
