weibull_shape,rho,horizon,model,MAE_history,MAE_rich,rich_improvement
0.5,0.5,extra_long,Decision Tree,1.609898374002728,1.6074086989080532,0.0015464796628651412
0.5,0.5,extra_long,Random Forest,1.608457291200501,1.6082078795389083,0.00015506265721643153
0.5,0.5,extra_long,Naive (persistence),1.5767228514008944,1.5767228514008944,0.0
0.5,0.7,short,Linear Regression,1.938045492522896,1.9768515978109116,-0.020023320111799192
0.5,0.7,short,Decision Tree,2.003983753933962,1.9887691894647928,0.007592159586774172
0.5,0.7,short,Random Forest,2.0018621095198266,1.9856253739918717,0.008110816149994204
0.5,0.7,short,Naive (persistence),1.880201176828572,1.880201176828572,0.0
0.5,0.7,medium,Linear Regression,2.759154301085264,2.782010435636128,-0.008283746415296278
0.5,0.7,medium,Decision Tree,2.7996921499388585,2.787590758582746,0.004322400716941899
0.5,0.7,medium,Random Forest,2.796096582656787,2.7850070411504,0.003966079560760338
0.5,0.7,medium,Naive (persistence),2.7218585638385795,2.7218585638385795,0.0
0.5,0.7,long,Linear Regression,3.6913604814412055,3.692509055371313,-0.0003111519278278241
0.5,0.7,long,Decision Tree,3.6919495164372016,3.684054682010319,0.0021383917607035174
0.5,0.7,long,Random Forest,3.6869645009699057,3.680910773304487,0.0016419272992257428
0.5,0.7,long,Naive (persistence),3.740537284065803,3.740537284065803,0.0
0.5,0.7,extra_long,Linear Regression,3.289868144133808,3.305375746301252,-0.004713745806225189
0.5,0.7,extra_long,Decision Tree,3.316507219377397,3.3047166378532657,0.0035551201140893163
0.5,0.7,extra_long,Random Forest,3.311905894986763,3.3036210874848897,0.0025015226170568283
0.5,0.7,extra_long,Naive (persistence),3.3005951803223788,3.3005951803223788,0.0
0.5,0.8,short,Linear Regression,2.570483774697115,2.5979547991390177,-0.010687102837340312
0.5,0.8,short,Decision Tree,2.6560952579886936,2.6427455304603726,0.0050260725733269895
0.5,0.8,short,Random Forest,2.646393240741669,2.631524788547475,0.005618383528680382
0.5,0.8,short,Naive (persistence),2.5232216441468154,2.5232216441468154,0.0
0.5,0.8,medium,Linear Regression,3.7049373068296254,3.72339789529076,-0.0049826992826855765
0.5,0.8,medium,Decision Tree,3.78238566050284,3.770689991842725,0.003092140704277213
0.5,0.8,medium,Random Forest,3.7748140635853855,3.7653726182717735,0.0025011683104317894
0.5,0.8,medium,Naive (persistence),3.670337958532474,3.670337958532474,0.0
0.5,0.8,long,Linear Regression,5.191736945541877,5.191807914191729,-1.3669538845295648e-05
0.5,0.8,long,Decision Tree,5.224006143696341,5.216522768654819,0.0014324973661357099
0.5,0.8,long,Random Forest,5.218018944553241,5.213553389415676,0.0008557951178437273
0.5,0.8,long,Naive (persistence),5.2298527169901,5.2298527169901,0.0
0.5,0.8,extra_long,Linear Regression,4.522873864979635,4.536128812910995,-0.002930647266993658
0.5,0.8,extra_long,Decision Tree,4.5813315982466944,4.574356357636204,0.0015225356342160046
0.5,0.8,extra_long,Random Forest,4.5762784652905095,4.566988902291702,0.0020299383154380735
0.5,0.8,extra_long,Naive (persistence),4.525613723797171,4.525613723797171,0.0
0.5,0.9,short,Linear Regression,3.140058156914965,3.1631903598364333,-0.007366807162640265
0.5,0.9,short,Decision Tree,3.2260708300243564,3.2211375980701,0.0015291765786243916
0.5,0.9,short,Random Forest,3.208447728082315,3.1956123934447183,0.004000481143966894
0.5,0.9,short,Naive (persistence),3.126560860408575,3.126560860408575,0.0
0.5,0.9,medium,Linear Regression,4.636208718349112,4.65144728746726,-0.003286860028073546
0.5,0.9,medium,Decision Tree,4.69649560500792,4.694349341177462,0.000456992619809804
0.5,0.9,medium,Random Forest,4.679504037112047,4.672332885852791,0.0015324596799967116
0.5,0.9,medium,Naive (persistence),4.633871508635879,4.633871508635879,0.0
0.5,0.9,long,Linear Regression,6.639985329959069,6.649852888454738,-0.0014860813699613118
0.5,0.9,long,Decision Tree,6.67438906531522,6.669026305329496,0.0008034832751349086
0.5,0.9,long,Random Forest,6.663358982545733,6.653037042614903,0.0015490595595807344
0.5,0.9,long,Naive (persistence),6.689155200533496,6.689155200533496,0.0
0.5,0.9,extra_long,Linear Regression,5.736873518597566,5.747035611693597,-0.0017713643264205547
0.5,0.9,extra_long,Decision Tree,5.781200223897042,5.773338535217578,0.0013598713718594446
0.5,0.9,extra_long,Random Forest,5.770040769388051,5.756862492094135,0.0022839140693478033
0.5,0.9,extra_long,Naive (persistence),5.758149408181952,5.758149408181952,0.0
0.5,0.95,short,Linear Regression,3.4453709579200336,3.4540346047216888,-0.002514575907055727
0.5,0.95,short,Decision Tree,3.705198116331772,3.705198116331772,0.0
0.5,0.95,short,Random Forest,3.585068531543618,3.584948434068486,3.3499352683374894e-05
0.5,0.95,short,Naive (persistence),3.4389863815574357,3.4389863815574357,0.0
0.5,0.95,medium,Linear Regression,5.107875770128404,5.112100069897628,-0.0008270169360673485
0.5,0.95,medium,Decision Tree,5.282502712080692,5.282502712080692,0.0
0.5,0.95,medium,Random Forest,5.201629353818196,5.201984709129656,-6.83161538987953e-05
0.5,0.95,medium,Naive (persistence),5.104181168639231,5.104181168639231,0.0
0.5,0.95,long,Linear Regression,7.477346832074223,7.468544190901826,0.0011772412554994505
0.5,0.95,long,Decision Tree,7.588551145448205,7.586075897769396,0.00032618185360644425
0.5,0.95,long,Random Forest,7.537816773542192,7.537215561826537,7.975939635007645e-05
0.5,0.95,long,Naive (persistence),7.484672548662102,7.484672548662102,0.0
0.5,0.95,extra_long,Linear Regression,6.380146941396923,6.379227361850023,0.00014413140564728533
0.5,0.95,extra_long,Decision Tree,6.526919901134335,6.529451802086191,-0.0003879166575058157
0.5,0.95,extra_long,Random Forest,6.456717156420853,6.459842396353865,-0.00048402924540447145
0.5,0.95,extra_long,Naive (persistence),6.381015240842519,6.381015240842519,0.0
