dataset,erlang_k,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2,0.5,extra_long,Linear Regression,25,0.5896399322456106,0.8626646255109891,19857.0,,,
history_only,2,0.5,extra_long,Decision Tree,25,0.5885079480286096,0.8619417381177147,19857.0,,,
history_only,2,0.5,extra_long,Random Forest,25,0.5885476047059626,0.8618055653771307,19857.0,,,
history_only,2,0.5,extra_long,Naive (persistence),26,0.6032674465510286,1.1806818713451621,19832.0,,,
history_only,2,0.5,extra_long,Linear Regression,26,0.5754197090466,0.8513311815998211,19832.0,,,
history_only,2,0.5,extra_long,Decision Tree,26,0.5753032636169727,0.8522558661645532,19832.0,,,
history_only,2,0.5,extra_long,Random Forest,26,0.5755165426256137,0.8517984402546587,19832.0,,,
history_only,2,0.5,extra_long,Naive (persistence),27,0.5842317380352645,1.1339283270478835,19850.0,,,
history_only,2,0.5,extra_long,Linear Regression,27,0.561826443364883,0.8086005752800005,19850.0,,,
history_only,2,0.5,extra_long,Decision Tree,27,0.5616205800469156,0.8082934045998994,19850.0,,,
history_only,2,0.5,extra_long,Random Forest,27,0.5615235942824655,0.8080481117880383,19850.0,,,
history_only,2,0.5,extra_long,Naive (persistence),28,0.6783125251711639,1.2889911511240866,19864.0,,,
history_only,2,0.5,extra_long,Linear Regression,28,0.61750484099654,0.9406123147241578,19864.0,,,
history_only,2,0.5,extra_long,Decision Tree,28,0.6165136320431898,0.9392369746548233,19864.0,,,
history_only,2,0.5,extra_long,Random Forest,28,0.6164591527099433,0.9390020902577033,19864.0,,,
history_only,2,0.5,extra_long,Naive (persistence),29,0.6111055225832411,1.1773180790976943,19882.0,,,
history_only,2,0.5,extra_long,Linear Regression,29,0.577290053815226,0.8459150842478342,19882.0,,,
history_only,2,0.5,extra_long,Decision Tree,29,0.5765600681836992,0.8452765063459048,19882.0,,,
history_only,2,0.5,extra_long,Random Forest,29,0.5765558725468894,0.8444177634405234,19882.0,,,
history_only,2,0.5,extra_long,Linear Regression,ALL_MEAN,0.584336195893772,,,0.018783660197319717,0.0634474710679257,5.0
history_only,2,0.5,extra_long,Decision Tree,ALL_MEAN,0.5837010983838774,,,0.018486943499516437,0.06446538196098683,5.0
history_only,2,0.5,extra_long,Random Forest,ALL_MEAN,0.5837205533741748,,,0.018474088598174974,0.06443420021922341,5.0
history_only,2,0.5,extra_long,Naive (persistence),ALL_MEAN,0.6239225007059399,,,0.03309669018091479,0.0,5.0
history_only,2,0.7,short,Naive (persistence),25,1.0556501703065517,1.6465509509460405,19964.0,,,
history_only,2,0.7,short,Linear Regression,25,1.078818146820304,1.4885510453316693,19964.0,,,
history_only,2,0.7,short,Decision Tree,25,1.0768497600659857,1.4611698857726665,19964.0,,,
history_only,2,0.7,short,Random Forest,25,1.0767538002921022,1.4604951442575014,19964.0,,,
history_only,2,0.7,short,Naive (persistence),26,1.0814618006817727,1.6667251510359016,19948.0,,,
