dataset,erlang_k,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2,0.7,medium,Random Forest,25,0.8385594069324784,0.7168141592920354,0.17925311203319502,0.28678911263553886,19964.0,0.18107593668603486,,,,,
history_only,2,0.7,medium,Naive (always 'not congested'),26,0.8116603168237417,0.0,0.0,0.0,19948.0,0.18833968317625827,,,,,
history_only,2,0.7,medium,Naive (persistence),26,0.7740124323240425,0.4001064112795956,0.4003194037796114,0.4002128791910591,19948.0,0.18833968317625827,,,,,
history_only,2,0.7,medium,Logistic Regression,26,0.8250952476438741,0.6519274376417233,0.15304764439712537,0.2478982539340375,19948.0,0.18833968317625827,,,,,
history_only,2,0.7,medium,Random Forest,26,0.8237417284940847,0.6478527607361964,0.14053766302901252,0.23097112860892388,19948.0,0.18833968317625827,,,,,
history_only,2,0.7,medium,Naive (always 'not congested'),27,0.8373584527507766,0.0,0.0,0.0,19958.0,0.16264154724922336,,,,,
history_only,2,0.7,medium,Naive (persistence),27,0.7954203828038882,0.37134952351675377,0.3721503388786198,0.3717494999230651,19958.0,0.16264154724922336,,,,,
history_only,2,0.7,medium,Logistic Regression,27,0.8452750776630925,0.6091160220994475,0.13585951940850277,0.2221662468513854,19958.0,0.16264154724922336,,,,,
history_only,2,0.7,medium,Random Forest,27,0.8455256037679126,0.6207407407407407,0.12908194701170672,0.2137209895434838,19958.0,0.16264154724922336,,,,,
history_only,2,0.7,medium,Naive (always 'not congested'),28,0.8191745141254257,0.0,0.0,0.0,19964.0,0.18082548587457423,,,,,
history_only,2,0.7,medium,Naive (persistence),28,0.7902724904828692,0.42010523400720023,0.42022160664819946,0.4201634122697687,19964.0,0.18082548587457423,,,,,
history_only,2,0.7,medium,Logistic Regression,28,0.8341514726507714,0.6644664466446645,0.1673130193905817,0.26731577782695287,19964.0,0.18082548587457423,,,,,
history_only,2,0.7,medium,Random Forest,28,0.8347525545982769,0.6835891381345927,0.16038781163434904,0.2598160197442226,19964.0,0.18082548587457423,,,,,
history_only,2,0.7,medium,Naive (always 'not congested'),29,0.8196573489630298,0.0,0.0,0.0,19962.0,0.18034265103697025,,,,,
history_only,2,0.7,medium,Naive (persistence),29,0.7699629295661757,0.3622222222222222,0.3622222222222222,0.3622222222222222,19962.0,0.18034265103697025,,,,,
history_only,2,0.7,medium,Logistic Regression,29,0.8296262899509067,0.6277278562259306,0.13583333333333333,0.22333866179493034,19962.0,0.18034265103697025,,,,,
history_only,2,0.7,medium,Random Forest,29,0.8287746718765655,0.6256906077348067,0.12583333333333332,0.20952821461609622,19962.0,0.18034265103697025,,,,,
history_only,2,0.7,medium,Naive (always 'not congested'),ALL_MEAN,0.8213549391953878,0.0,0.0,0.0,,0.17864506080461218,0.00852811084214941,0.0,0.0,0.0,5.0
history_only,2,0.7,medium,Naive (persistence),ALL_MEAN,0.7830063779510433,0.39227901687035016,0.3927531154122313,0.39251578418787125,,0.17864506080461218,0.009627910101563018,0.021964116313824143,0.02203429523909073,0.021997909738202495,5.0
history_only,2,0.7,medium,Logistic Regression,ALL_MEAN,0.8346416792928089,0.6524354943102949,0.15614237688820462,0.25174614770566917,,0.17864506080461218,0.007058643431877286,0.034131429090712116,0.020077359652048536,0.02856461400847816,5.0
history_only,2,0.7,medium,Random Forest,ALL_MEAN,0.8342707931338638,0.6589374813276743,0.14701877340831931,0.24016509302965305,,0.17864506080461218,0.007567874416163809,0.036454439129612735,0.020151134825483138,0.029265666009285804,5.0
